benchmark,Kissat_MAB_CoRephase,,,,,Kissat-MAB-rephasing,,,
,arm1(BWO),arm2(BWI),arm3(BWC),arm4(BWF),,arm1(B),arm2(I),arm3(O),arm4(W)
7aaf3275cbe217044ef305f0a1ca8eb5-CNFPlus_from_fp_12.cnf,43,38,39,38,,41,81,22,43
7b4622a3ab523264378a560199de47ed-ER_400_20_4.apx_1_DC-ST.cnf,7,6,7,6,,7,20,7,9
7d58f2f0c79cbcad0496ced184ba0680-TableSymModel_output_6_3_8.bul_.dimacs.cnf,33,32,33,33,,35,51,34,36
7dc81d3cb9066f8bc06ceffbca237572-TableModel_output_7_3_9.bul_.dimacs.cnf,42,30,43,35,,4,167,4,7
81d2158d506ea1049708837460b9387e-WS_400_24_70_10.apx_2_DC-AD.cnf,13,12,12,13,,15,17,15,20
824c21545e228872744675ae4ee32976-WCNFPlus_to_alien_14.cnf,53,34,34,36,,31,110,14,27
8252d67358381873e07bb637ad177b83-hash_table_find_safety_size_16.cnf,1,1,0,0,,2,2,1,1
8270ae50e6f2881136868db6d3a88eee-WS_400_24_90_10.apx_2_DC-AD.cnf,18,18,18,17,,20,31,15,22
828e1066a477e98e8d834528df3fc874-or_randxor_k3_n560_m560.cnf,24,23,23,24,,31,34,35,34
82fe0a5b2467d6e5299c315da8b16ec5-brent_51_0.07.cnf,3,3,3,3,,2,2,2,2
835ac60ca83af6f334b64b61c4ad345b-tseitin_d3_n160.cnf,80,76,79,83,,159,47,37,47
83cf6bfa7945b54e8c4ac659d1a4359e-SC23_Timetable_C_473_E_52_Cl_32_D_6_T_50.cnf,1,1,1,1,,3,3,3,3
8403d03df1ce64af3bf7581449d320fb-brent_63_0.26.cnf,1,1,0,0,,2,6,2,2
85240babab8083e1b381e2971d875ab8-satcoin-genesis-UNSAT-17800.cnf,3,4,4,4,,11,13,12,12
8751f8d1570611ba079dfd862b14c514-SC23_Timetable_C_473_E_49_Cl_32_D_6_T_50.cnf,1,1,1,1,,3,3,3,3
87ec32f70c5e3a279e636f7f62e70a19-mchess22-mixed-45percent-blocked.cnf,32,33,31,32,,33,40,33,35
89120de895868a3fccd74f30f78a5448-grs-192-160.cnf,7,7,8,8,,13,13,12,12
